,0_mean,0_std,1_mean,1_std,2_mean,2_std,3_mean,3_std,4_mean,4_std
0,0.8959237375030633,0.10773900608754898,0.8948954031626294,0.10358744083053179,0.8930844687606639,0.10883332389480167,0.8953030452643016,0.10930353376850141,0.9054563589388915,0.09306450960947696
1,0.9029016206792899,0.10183515392249516,0.8937110722935643,0.10801259621270196,0.887191945451751,0.10966749176257239,0.8977191474354542,0.10620064410783116,0.9045971812792318,0.09813625141023201
2,0.9136674846031919,0.10181991800194223,0.8970340008582662,0.10599604335436622,0.8916984001671701,0.11155129316562931,0.9052227254155676,0.10319200051559362,0.9149533058456022,0.08517631585381763
3,0.8910714157068381,0.10991213108755657,0.8947811895499186,0.10111285810690661,0.920362670371408,0.08482357355871886,0.8990187226130718,0.10468726770720665,0.885320305525945,0.11394089228879127
4,0.8860600428594801,0.1155273271809899,0.8980337691173592,0.10257706191299854,0.9040480267008153,0.10621077156786318,0.8826743580028975,0.12091041431618416,0.8890579805193654,0.1126969724709994
5,0.8841952200512727,0.11475636209356238,0.886703282076011,0.10765698002504495,0.9013243338320278,0.10279700706876485,0.8873501813462047,0.11180293884260169,0.8935286155839397,0.10650442603444497
6,0.8876634156756161,0.11434694696521354,0.8934011207204577,0.10444625884801442,0.9025468556133589,0.10529791638381496,0.9016648215069892,0.1009610245477487,0.8984679271357494,0.10064341143837803
7,0.8933294924002833,0.10836239575048127,0.8937767085649913,0.10466854055837414,0.90680220210275,0.09538496668827764,0.8976608988370245,0.10707764250668415,0.8964654869230789,0.10225001753079997
8,0.9036784573392906,0.10390579218811966,0.8857052024714199,0.1124955016987465,0.889347869455915,0.11217880610470624,0.8840282074435831,0.11408829552504143,0.9141447563032845,0.08625436420608883
9,0.8996497623796914,0.10621737574366177,0.8955741633309068,0.1069192351163222,0.893662393452214,0.10535474434607484,0.9144652789872576,0.09129425941189973,0.9118418920529194,0.08643434610887887
10,0.9040273336255128,0.09742456803011104,0.8979124133285424,0.10178480338915799,0.8942696712091878,0.10735150438920596,0.8933000391104148,0.11047049611099431,0.8947219489970542,0.10494552670304001
11,0.9100805074135244,0.10125634015838818,0.9001294482536507,0.10152440037205405,0.8812728885854086,0.11793770266020474,0.906147938027587,0.10035553656631396,0.9019329719571163,0.09970618844197802
12,0.8929456420553622,0.11003739876257754,0.9034259250584121,0.09970111778347478,0.9069739863655585,0.09504001319137025,0.8774908742979839,0.12315787266779181,0.8779889633826407,0.11600357758138839
13,0.9072413205566262,0.10211988248281102,0.9053150182620643,0.09425572287868074,0.8995275560920828,0.10520186658481995,0.9058466555820147,0.1008994508122522,0.8986267981480779,0.09992425252716074
14,0.9013534213724863,0.1016743162198453,0.8908254714186391,0.10859100845983953,0.8886203286264851,0.116398418297156,0.9031367618619102,0.10132666167949704,0.8925124248151634,0.10949785470914913
15,0.8959303709178802,0.10586962483899087,0.8869987095039283,0.11274555995725606,0.8947371188464578,0.11131450075493331,0.8971658533502039,0.11700523108670076,0.90286068819659,0.10311418640960526
16,0.8935843056504413,0.10550264315917492,0.8985812540193927,0.1034311119606138,0.8955933140268925,0.10685106811269353,0.9013350887418236,0.10680654707385878,0.8946087340601373,0.10154033555603663
17,0.8958317382741487,0.10901073520268742,0.8856352405045799,0.1124797120942508,0.880033647632391,0.11926328275524267,0.8904749173274533,0.11170675884658152,0.9132059711410799,0.089341828241926
18,0.9151364105232255,0.08910697137088569,0.8968687217691909,0.10540720773016715,0.8982793304104492,0.10111150300112676,0.8827354908492765,0.12410762554024395,0.8988279530374303,0.10254468207773913
19,0.8993244476299534,0.1020083962348835,0.894760674050244,0.10311298762026906,0.9040361042279293,0.09594293509979468,0.890396090132721,0.1164846796827694,0.8968471742033332,0.10099633631194718
20,0.8954337871556294,0.10638932631059868,0.8851024357967342,0.12568469256595768,0.8984584059316996,0.10772670714787841,0.8961849619635015,0.1080932796588451,0.8993062320441708,0.09915873957797565
21,0.8966143615845379,0.10514304667872916,0.8957356244844082,0.10162631524162247,0.9003509545747943,0.11049355662993246,0.9091412085686038,0.10042733908783803,0.8969496765255598,0.1016880161366773
22,0.906644685361796,0.09521503242523265,0.9002490912304435,0.09828337717187356,0.9019487481206117,0.09817599970336642,0.8870396184497374,0.11951738544350676,0.8992414687853696,0.1032616686247644
23,0.8874146572270084,0.11313303087286253,0.8834787569861723,0.11149792603675782,0.8918683507709526,0.10983316506224544,0.9023513254712768,0.10550540626459717,0.8891798240914829,0.10957971547217
24,0.9109763277105596,0.09151070735240706,0.8942005227870341,0.10528929933923548,0.8920453715542749,0.1099657940472227,0.897638017338439,0.10924607730946453,0.9163339150391498,0.08752052859726528
25,0.9107976865285932,0.09577846019711629,0.9129710463119413,0.09450690090928297,0.8964699565659788,0.1110884828487179,0.8828174453983328,0.11842999503097944,0.8991914556119673,0.10209389939837708
26,0.9009500628472141,0.1050616075368309,0.8929728747808892,0.10446732064780902,0.888091791840507,0.11219441355792993,0.9022341714478277,0.10354651437436173,0.8801695809187404,0.11485141332637831
27,0.8896703954202155,0.11048984641177442,0.8922500921184091,0.10378114825694851,0.8939057235833359,0.11204036154297015,0.8855263968354052,0.12095540050334563,0.9023547293518384,0.09638160346715453
28,0.8832643159150579,0.12023627847628304,0.8857234934937779,0.11207949243814858,0.906661103321178,0.09508218203667487,0.909594396343454,0.1042775034467189,0.894741401752961,0.10379236879741499
29,0.9032916782652878,0.10578096767173212,0.8890000616950549,0.1071561625254288,0.8758450177345988,0.123286433687019,0.8941599681569752,0.12039616777072863,0.8920247977653611,0.10684369020902758
30,0.8924253542889251,0.1058869546225503,0.9113913848136261,0.08790139713047888,0.9017473252135894,0.10181449432434388,0.9005916403907961,0.11651985033818983,0.8941784557931384,0.11002934444220712
31,0.9132884471008275,0.09355935108858371,0.8886524017909588,0.11108387023606495,0.895556308555108,0.10629935184656039,0.8847021810086613,0.11773603576601373,0.8959458916243375,0.10763199381404609
32,0.8794754515349582,0.12061205930996488,0.8974601901031778,0.10212359130264506,0.8956342520072655,0.10541827060921757,0.9092315807289988,0.09523340891886173,0.9030529502623821,0.09873906257949536
